Investor,,Investments,,,
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Mar31,2022",Health Hero,Seed Round-Health Hero,
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Mar29,2022",Hebin Intelligence,Seed Round-Hebin Intelligence,
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Mar29,2022",Zhonghe Energy Storage,Seed Round-Zhonghe Energy Storage,CN_1OM
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Mar14,2022",Tianyigou,Series A-Tianyigou,CN_100M
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Feb25,2022",Creable,Angel Round-Creable,
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Feb17,2022",Upward Technology,Seed Round-Upward Technology,
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Feb10,2022",Panda Cloud,Seed Round-Panda Cloud,CN_10M
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Dec1,2021",Talewind,Seed Round-Talewind,$3.4M
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Jul12,2021",Sugar,Seed Round-Sugar,$2.5M
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Jul1,2021",Beam One-Click Checkout,Pre Seed Round-Beam One-Click Checkout,$220K
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"May26,2021",Subject,Seed Round-Subject,S4M
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"May13,2021",DeepScribe,Seed Round-DeepScribe,$5.2M
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Apr20,2021",Rundoo,Convertible Note-Rundoo,
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Feb2,2021",Expectful,Seed Round-Expectful,S3M
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Dec20,2020",Lolly,Seed Round-Lolly,$2.5M
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"0ct28,2020",The Naked Market,Seed Round-The Naked Market,$6M
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"May1,2020",BUBBLE,Pre Seed Round-BUBBLE,$1.3M
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Mar3,2020",Obviously Al,Pre Seed Round-Obviously Al,S800K
"Sequoia Capital Fund, L.P.",Sequoia Capital closed on a $180 million fund in 2018 called Sequoia Scout III that’s focused exclusively on seed-stage opportunities.,"Jun21,2018",Inline Digital,Pre Seed Round -Inline Digital,$200K
Strauss Capital LLC,"Strauss Capital Partners is an investment banking firm that offers mergers, acquisitions, and recapitalization advisory services.","May4,2022",Twitter,Post-IPO Equity Twitter,$7.2B
Tresser Blvd 402 LLC (Cartenna),,"May4,2022",Twitter,Post-IPO Equity-Twitter,$8.5M
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"May4,2022",Twitter,Post-IPO Equity-Twitter,$7.2B
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"Apr20,2022",The Boring Company,Series C-The Boring Company,$675M
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"Mar1,2022",Counterpart,Series B-Counterpart,$30M
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"Jan1,2022",Casa Bravo,Seed Round-Casa Bravo,$2.5M
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"Noy16,2021",Upgrade,Series F-Upgrade,$280M
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"Aug18,2021",MobileCoin,Series B-MobileCoin,$66M
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"Jul30,2021",Neuralink,Series C-Neuralink,$205M
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"Jul15,2021",Inshorts,Venture Round -Inshorts,4.5B
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"May25,2021",Evertas,Seed Round-Evertas,$5.8M
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"Apr27,2021",Urban Company,Series F-Urban Company,$188M
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"Mar24,2021",Blockchain.com,Series C-Blockchain.com,$300M
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"Mar17,2021",Coalition,Series D-Coalition,$175M
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"Aug25,2020",Urban Company,Secondary Market-Urban Company,S5M
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"Ju15,2020",Evertas,Seed Round-Evertas,$2.8M
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"Jun17,2020",Upgrade,Series D-Upgrade,$40M
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"May20,2020",Coalition,Series C-Coalition,$90M
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"Apr18,2020",ITILITE,Series B-ITILITE,1B
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"Mar14,2020",Shop101,Series C-Shop101,F286.9M
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"Feb8,2020",Reddit,Series E-Reddit,$367.9M
VyCapital ,Vy Capital is an investment firm that focuses on the internet and software industry.,"Aug2,2019",Urban Company,Series E-Urban Company,$75M
Witkoff Capital,WITKOFF is a global real estate development and investment firm.,"May4,2022",Twitter,Post-IPO Equity-Twitter,$7.2B
Witkoff Capital,WITKOFF is a global real estate development and investment firm.,"Feb4,2021",Built Technologies,Series C-Built Technologies,$88M
HRH Prince Alwaleed Bin Talal Bin Abdulaziz Alsaud (Kingdom),"Prince Alwaleed Bin Talal Bin Abdul Aziz Al Saud formed Kingdom Holding Company in 1980, and the firm is today one of the largest and most diversified private investment companies in the world, with holdings in a large number of Middle Eastern and international firms.","May4,2022",Twitter,Post-IPO Equity-Twitter,$7.2B
HRH Prince Alwaleed Bin Talal Bin Abdulaziz Alsaud (Kingdom),"Prince Alwaleed Bin Talal Bin Abdul Aziz Al Saud formed Kingdom Holding Company in 1980, and the firm is today one of the largest and most diversified private investment companies in the world, with holdings in a large number of Middle Eastern and international firms.","Aug7,2018",Snap,Post-IPO Equity-Snap,$250M
HRH Prince Alwaleed Bin Talal Bin Abdulaziz Alsaud (Kingdom),"Prince Alwaleed Bin Talal Bin Abdul Aziz Al Saud formed Kingdom Holding Company in 1980, and the firm is today one of the largest and most diversified private investment companies in the world, with holdings in a large number of Middle Eastern and international firms.","Feb1,2013",JD.com,Series D-JD,$400M
